time [unix s],run ids [],trigger rate [Hz],run duration [s],data duration [s]
1720805701.022,50000.0,4.99,1210.630187511444,1200.2109143733978
1720807524.722,50001.0,2.83,1211.2655544281006,1200.8972027301788
1720809264.85,50002.0,2.82,1210.8078422546387,1200.3731760978699
1720810653.729,50003.0,2.5,1210.8490324020386,1200.458876132965
1720816403.842,50004.0,2.52,1811.3927593231201,1800.6149945259094
1720824537.838,50005.0,1.77,7210.665286064148,7198.894264698029
1720864320.879,50006.0,1.56,910.3849945068359,898.1350467205048
1720866240.693,50007.0,1.89,910.8314173221588,900.1443464756012
1720867660.693,50008.0,1.76,910.9410440921783,900.695627450943
1720868678.716,50009.0,1.49,910.4900720119476,899.065432548523
1720870204.943,50010.0,1.69,910.9423758983612,900.5645694732666
1720871572.092,50011.0,2.5,911.4428803920746,900.7448201179504
1720875162.673,50012.0,3.36,1210.6446437835693,1200.1853182315826
1720877448.088,50013.0,2.24,1810.738697528839,1798.7134892940521
1720879869.775,50014.0,1.98,1210.7691910266876,1200.3062851428986
1720881651.983,50015.0,1.77,1211.2163338661194,1200.7644267082214
1720883350.776,50016.0,1.82,1211.1826975345612,1201.0316288471222
1720892280.841,50017.0,1.72,7210.897725105286,7200.198874235153
1720907367.101,240000.0,1.77,7211.177293777466,7199.213252067566
1720914578.758,240001.0,4.19,7211.179050445557,7199.758502960205
1720921789.718,240002.0,1.61,7210.248392820358,7199.759876012802
1720929001.061,240003.0,1.57,7210.651146411896,7200.522435426712
1720936212.798,240004.0,1.67,7211.1375205516815,7201.116961717606
1720943423.694,240005.0,1.7,7210.244991064072,7199.708435058594
1720952394.81,240006.0,1.55,8970.676086902618,7198.879414319992
1720959606.027,240007.0,1.73,7210.630489587784,7200.594535827637
1720966817.819,240008.0,1.99,7211.207916259766,7200.847572565079
1720974029.086,240009.0,1.96,7210.706250905991,7200.54611492157
1720981240.852,240010.0,2.04,7211.215753078461,7200.479961872101
1720988452.04,240011.0,1.51,7210.6352961063385,7198.603555202484
1720995663.13,240012.0,1.8,7210.553884983063,7199.2507565021515
1721002873.72,240013.0,1.85,7210.046140909195,7199.989932060242
1721010085.008,240014.0,1.68,7210.616121768951,7199.958690643311
1721017296.13,240015.0,1.79,7210.535786867142,7200.020179033279
1721024507.926,240016.0,1.56,7211.294766426086,7200.98183631897
1721031719.078,240017.0,1.7,7210.7281148433685,7199.011598825455
1721038930.848,240018.0,1.56,7211.258741140366,7198.877546072006
1721047902.832,240019.0,1.83,8971.349166154861,7200.21941447258
1721055114.049,240020.0,1.85,7210.662716388702,7200.074306964874
1721062325.823,240021.0,1.56,7211.222542047501,7200.771798849106
1721069537.085,240022.0,1.54,7210.705807209015,7200.373091220856
1721076748.84,240023.0,1.76,7211.214317560196,7201.08593583107
1721083959.645,240024.0,1.91,7210.223228693008,7198.666052818298
1721091170.825,240025.0,1.87,7210.732705593109,7199.503743171692
1721098382.118,240026.0,1.84,7210.670788049698,7200.272163391113
1721105593.753,240027.0,1.65,7211.148444652557,7200.809762239456
1721112804.81,240028.0,1.9,7210.723838806152,7200.290121555328
1721120016.057,240029.0,1.82,7210.634745121002,7199.685050487518
1721121107.874,240030.0,1.77,1091.2305779457092,1080.910148382187
1721128319.04,240031.0,1.7,7210.808037519455,7197.346511125565
1721140071.847,240032.0,2.58,9017.758069992065,7200.255270719528
1721147283.121,240033.0,1.66,7210.689979314804,7198.7385149002075
1721148979.558,240034.0,1.59,1695.927704334259,1683.041885137558
1721156214.715,240035.0,1.53,7210.320467710495,7199.29465842247
1721163425.889,240036.0,1.65,7210.644985198975,7200.559443950653
1721170636.637,240037.0,1.67,7210.30428981781,7199.197930812836
1721177847.735,240038.0,1.58,7210.579646348953,7199.0973908901215
1721185058.702,240039.0,1.78,7210.587777853012,7200.601003170013
1721192269.795,240040.0,1.5,7210.672468662262,7200.482736110687
1721199481.072,240041.0,1.51,7210.698298692703,7199.410083293915
1721205766.984,240042.0,1.89,6285.361753940582,5308.350686311722
1721214858.802,240043.0,1.57,7211.19041967392,7199.257481575012
1721222069.735,240044.0,1.75,7210.2922649383545,7200.10832285881
1721224675.077,240045.0,1.65,2604.966606616974,780.9102101325989
1721246030.958,240046.0,1.47,7211.195374011993,7200.320986747742
1721253242.046,240047.0,1.65,7210.657547235489,7200.258207082748
1721260453.799,240048.0,1.54,7211.1347324848175,7200.968379020691
1721267665.114,240049.0,1.56,7210.703587055206,7199.093478918076
1721274876.857,240050.0,1.6,7211.24596452713,7200.787859201431
1721282088.008,240051.0,1.58,7210.674983739853,7199.472779989243
1721289299.858,240052.0,1.65,7211.211000919342,7200.54937171936
1721290468.841,240053.0,1.58,1168.4533195495605,1157.7929859161377
1721306056.789,500000.0,4.15,71.23942470550537,60.48740005493164
1721306831.803,500001.0,1.16,70.6301622390747,60.271557569503784
1721307639.669,500002.0,1.26,310.9544394016266,299.97708654403687
1721308077.085,500003.0,3.51,70.68309807777405,60.481104135513306
1721308635.886,500004.0,1.23,71.20247769355774,60.40483641624451
1721309017.071,500005.0,2.0,71.26750755310059,61.0003936290741
1721309397.874,500006.0,2.13,71.21755862236023,60.42582583427429
1721309813.948,500007.0,1.15,70.63382172584534,60.00313115119934
1721310344.912,500008.0,0.29,70.6442358493805,57.66404891014099
1721310524.739,500009.0,0.34,71.04616975784302,59.65994334220886
1721310785.037,500010.0,1.21,71.19047403335571,60.506465911865234
1721311183.681,500011.0,1.46,70.57635760307312,60.12671184539795
